loyalty_number,loyalty_card,province,segment_name,risk_level,churn_probability,clv,revenue_at_risk,potential_save,recommended_action,specific_offer,channel,timing,incentive_cost_cad,avg_flights_per_month,recency_months,engagement_health_score,tenure_months
904397,Aurora,Ontario,Active Champions,High,0.90473855,30850.59,22887.61,6179.65,Loyalty Lock-In,"6,000 bonus miles + priority check-in for 6 months",Email + App push,Within 3 days,70,1.5833333333333333,0.0,32.4,8
561722,Star,Quebec,Seasonal Travelers,High,0.99635565,27890.06,22786.5,6152.36,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,33
750153,Aurora,Newfoundland,Premium Dormant,High,0.9966349,27789.69,22710.86,6131.93,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,36
475009,Star,Quebec,Seasonal Travelers,High,0.99645764,27789.69,22706.82,6130.84,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,59
257194,Nova,British Columbia,Premium Dormant,Medium,0.58930624,46770.95,22601.18,6102.32,Engagement Campaign,"3,000 bonus miles on next flight",Email,Within 7 days,30,0.0,0.0,30.0,0
946439,Aurora,Quebec,Premium Dormant,High,0.89719117,30591.61,22506.15,6076.66,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,0
375467,Aurora,British Columbia,Premium Dormant,High,0.998231,27382.82,22414.19,6051.83,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,49
152685,Nova,Ontario,Premium Dormant,High,0.994886,27420.81,22370.08,6039.92,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,27
915009,Aurora,British Columbia,Premium Dormant,High,0.99810046,27287.5,22333.25,6029.98,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,53
400844,Nova,Quebec,Premium Dormant,High,0.99773836,27287.5,22325.14,6027.79,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,46
411651,Star,Quebec,Seasonal Travelers,High,0.99518,27069.5,22090.0,5964.3,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,38
480858,Nova,Quebec,Premium Dormant,High,0.9693235,27789.69,22088.5,5963.9,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.3333333333333333,0.0,13.3,67
574688,Aurora,British Columbia,Premium Dormant,High,0.9975878,26864.2,21975.51,5933.39,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,68
530712,Star,Ontario,Seasonal Travelers,High,0.9939949,26730.06,21787.03,5882.5,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,25
840659,Nova,Alberta,Premium Dormant,High,0.8465958,31221.75,21674.41,5852.09,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,0
714161,Star,Quebec,Seasonal Travelers,High,0.9980427,26416.25,21618.93,5837.11,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,61
243273,Aurora,Alberta,Premium Dormant,High,0.862045,30475.78,21542.62,5816.51,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,0
697323,Nova,Ontario,Premium Dormant,High,0.99525744,26305.42,21468.15,5796.4,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,50
149841,Star,Ontario,Seasonal Travelers,High,0.79502124,32864.4,21424.87,5784.71,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
300460,Aurora,Saskatchewan,Premium Dormant,High,0.7979028,32725.3,21411.52,5781.11,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,0
841324,Aurora,New Brunswick,Premium Dormant,High,0.993519,26197.41,21342.65,5762.52,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,18
903679,Star,Quebec,Seasonal Travelers,High,0.9962774,26113.36,21333.24,5759.97,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,18
631714,Nova,British Columbia,Premium Dormant,High,0.9922123,26197.41,21314.58,5754.94,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,65
402136,Star,Quebec,Seasonal Travelers,High,0.99829394,25805.51,21124.42,5703.59,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,48
206050,Aurora,Alberta,Premium Dormant,High,0.93668383,27495.42,21118.7,5702.05,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.8333333333333334,0.0,25.0,16
714840,Star,Nova Scotia,Seasonal Travelers,High,0.7713801,33279.77,21050.51,5683.64,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
350486,Star,New Brunswick,Seasonal Travelers,High,0.78025085,32861.26,21024.82,5676.7,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
768313,Star,Ontario,Seasonal Travelers,High,0.76521766,33288.16,20887.6,5639.65,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
191656,Aurora,Ontario,Premium Dormant,High,0.76092374,33451.79,20872.49,5635.57,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,0
196757,Aurora,Ontario,Premium Dormant,High,0.9917795,25626.71,20841.16,5627.11,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,27
423313,Star,Ontario,Seasonal Travelers,High,0.9956077,25464.82,20789.44,5613.15,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,28
333051,Aurora,New Brunswick,Premium Dormant,Medium,0.49208722,51426.25,20751.08,5602.79,Engagement Campaign,"3,000 bonus miles on next flight",Email,Within 7 days,30,0.0,0.0,20.0,0
212301,Aurora,Quebec,Active Champions,High,0.769026,32861.26,20722.35,5595.03,Loyalty Lock-In,"6,000 bonus miles + priority check-in for 6 months",Email + App push,Within 3 days,70,1.5,0.0,30.5,66
713067,Nova,Nova Scotia,Premium Dormant,High,0.9921876,25464.82,20718.02,5593.87,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.08333333333333333,0.0,24.2,19
108896,Nova,Ontario,Premium Dormant,High,0.78275204,32196.6,20665.6,5579.71,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.75,0.0,16.7,6
733467,Aurora,Ontario,Premium Dormant,High,0.9966454,25093.57,20507.7,5537.08,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,25
448751,Aurora,Alberta,Premium Dormant,High,0.9981812,24980.23,20446.53,5520.56,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,40
237107,Aurora,Ontario,Premium Dormant,High,0.99716705,24826.89,20300.38,5481.1,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,18
727091,Aurora,Manitoba,Premium Dormant,High,0.73891366,33473.35,20281.81,5476.09,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,20.0,0
501885,Nova,Ontario,Premium Dormant,High,0.7635584,32317.03,20234.27,5463.25,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,0
574492,Nova,Manitoba,Premium Dormant,High,0.72491276,34039.06,20233.79,5463.12,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,0
460673,Star,Ontario,Seasonal Travelers,High,0.7743566,31706.93,20133.03,5435.92,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,2
120635,Nova,Quebec,Premium Dormant,High,0.9960872,24636.97,20123.27,5433.28,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,24
730795,Star,British Columbia,Seasonal Travelers,High,0.9970806,24258.71,19834.07,5355.2,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,41
436282,Aurora,Ontario,Premium Dormant,High,0.9964999,24186.88,19763.82,5336.23,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,41
844477,Aurora,Ontario,Premium Dormant,High,0.99833906,23990.15,19639.25,5302.6,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,49
128405,Star,Quebec,Seasonal Travelers,High,0.99597496,23984.62,19588.23,5288.82,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,31
340931,Star,British Columbia,Seasonal Travelers,High,0.7303583,32677.34,19570.26,5283.97,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.6666666666666666,0.0,9.9,18
818886,Nova,British Columbia,Premium Dormant,High,0.99763584,23893.3,19546.19,5277.47,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,58
248445,Star,Newfoundland,Seasonal Travelers,High,0.79682857,29874.74,19520.14,5270.44,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
348350,Star,British Columbia,Seasonal Travelers,High,0.99748045,23594.68,19298.89,5210.7,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,55
835295,Star,Ontario,Seasonal Travelers,High,0.9751437,24127.5,19292.78,5209.05,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.5833333333333334,0.0,3.3,15
361944,Star,Manitoba,Miles Hoarders,High,0.89668775,26113.36,19200.73,5184.2,Redemption Activation,2× redemption value + 60-day flash sale on points,Email + App push,Within 72 hours,50,1.0833333333333333,0.0,11.4,6
883916,Star,Manitoba,Seasonal Travelers,High,0.9961881,23055.57,18833.5,5085.04,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,27
825730,Aurora,British Columbia,Premium Dormant,High,0.9963651,22986.15,18780.13,5070.64,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,24
741926,Star,Ontario,Seasonal Travelers,High,0.76502323,29706.78,18635.63,5031.62,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,0
148766,Star,Quebec,Seasonal Travelers,High,0.9965406,22658.54,18515.73,4999.25,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,59
571406,Star,Nova Scotia,Seasonal Travelers,High,0.9962131,22658.54,18509.64,4997.6,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.0,0.0,20.0,53
670981,Nova,Saskatchewan,Premium Dormant,High,0.99398345,22658.54,18468.22,4986.42,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,61
155348,Aurora,British Columbia,Premium Dormant,High,0.9935768,22647.22,18451.44,4981.89,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,22
536699,Star,Nova Scotia,Seasonal Travelers,High,0.88988656,25082.18,18302.64,4941.71,Off-Season Reactivation,"4,000 bonus miles + exclusive off-peak fare (30% off)",Email + SMS simultaneously,Within 72 hours,40,0.5833333333333334,0.0,5.0,37
830836,Nova,British Columbia,Premium Dormant,High,0.99828464,22332.44,18281.19,4935.92,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,62
983440,Aurora,Manitoba,Premium Dormant,High,0.99896955,22305.32,18271.52,4933.31,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,67
329088,Star,Alberta,Miles Hoarders,High,0.79457694,27789.69,18106.46,4888.74,Redemption Activation,2× redemption value + 60-day flash sale on points,Email + App push,Within 72 hours,50,2.3333333333333335,0.0,25.5,34
942952,Aurora,Quebec,Premium Dormant,High,0.99882406,22103.51,18103.56,4887.96,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,47
895821,Nova,Quebec,Premium Dormant,High,0.9960039,22118.81,18064.95,4877.54,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,24
678991,Nova,British Columbia,Premium Dormant,High,0.9959558,22110.4,18057.2,4875.44,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,30.0,26
324049,Aurora,Ontario,Premium Dormant,High,0.9976707,22041.86,18032.22,4868.7,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,26
933251,Star,British Columbia,Seasonal Travelers,Medium,0.65644,33451.79,18006.46,4861.74,Seasonal Re-Engagement,"Upcoming season preview + 2,000 bonus miles",Email,Within 14 days,20,0.0,0.0,20.0,0
742321,Nova,Quebec,Premium Dormant,High,0.98101646,22332.44,17964.96,4850.54,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.25,0.0,13.3,45
465476,Aurora,Alberta,Premium Dormant,High,0.9978284,21850.84,17878.78,4827.27,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,41
881428,Aurora,Ontario,Premium Dormant,High,0.99452955,21740.03,17729.3,4786.91,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,29
876243,Aurora,British Columbia,Premium Dormant,High,0.9977513,21592.1,17665.71,4769.74,Urgent Retention Offer,"5,000 bonus miles + waived change fees for 60 days",SMS + Email,Within 48 hours,55,0.0,0.0,40.0,37
